Species;Species2;References;Webpage;;;;;;;;;;;;;;;
Caryocar pallidum;Caryocar pallidum;Cárdenas López, D., Marín Canchala, N. L., & Castaño Arboleda, N. (2012). Plantas alimenticias no convencionales en Amazonia colombiana y anotaciones sobre otras plantas alimenticias. Revista Colombia Amazónica, 5;https://sinchi.org.co/files/publicaciones/revista/pdf/5/4%20plantas%20alimenticias%20no%20convencionales%20en%20amazonia%20colombiana%20y%20anotaciones%20sobre%20otras%20plantas%20alimenticias.pdf;.;;;;;;;;;;;;;;
Casearia javitensis;Casearia javitensis;Espinar, M. T. F. (2015). Estudo químico e biológico de Casearia javitensis Kunth (Dissertação de mestrado, Universidade do Estado do Amazonas). Universidade do Estado do Amazonas. Páginas 2–57.;https://ppbio.inpa.gov.br/sites/default/files/Espinar_M_T_F_Dissertacao_2015.pdf;.;;;;;;;;;;;;;;
Casearia javitensis;Casearia javitensis;Yanomami, M. I., Yanomami, E., Albert, B., Milliken, W., & Coelho, V. (2015). Hwërɨmamotima thë pë ã oni [Manual dos remédios tradicionais Yanomami]. Boa Vista, Roraima, Brasil: Hutukara Associação Yanomami. ISBN: 978-8582260258.;https://acervo.socioambiental.org/index.php/acervo/publicacoes-isa/manual-dos-remedios-tradicionais-yanomami;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Ameni, A. Z., Latorre, O. A., Torres, L. M., & Górniak, S. L. (2015). Toxicity study about a medicinal plant Casearia sylvestris: A contribution to the Brazilian Unified Health System (SUS). Journal of ethnopharmacology, 175, 9–13. https://doi.org/10.1016/j.jep.2015.08.027;https://doi.org/10.1016/j.jep.2015.08.027;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Brandão, M. G. L., Pignal, M., Romaniuc, S., Grael, C. F. F., & Fagg, C. W. (2012). Useful Brazilian plants listed in the field books of the French naturalist Auguste de Saint-Hilaire (1779–1853). Journal of Ethnopharmacology, 143(2), 488–500. https://doi.org/10.1016/j.jep.2012.06.052;https://doi.org/10.1016/j.jep.2012.06.052;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Ferreira, P. M. P., Costa-Lotufo, L. V., Moraes, M. O., Barros, F. W. A., Martins, A. M. A., Cavalheiro, A. J., Bolzani, V. S., Santos, A. G., & Pessoa, C.. (2011). Folk uses and pharmacological properties of Casearia sylvestris: a medicinal review. Anais da Academia Brasileira De Ciências, 83(4), 1373–1384. https://doi.org/10.1590/S0001-37652011005000040;https://doi.org/10.1590/S0001-37652011005000040;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Hoehne, F. (1939). Plantas e substâncias vegetais tóxicas e medicinais. São Paulo: Departamento de Botânica do Estado.;https://archive.org/details/PlantasESubstanciasVegetaisToxicasEMedicinais/mode/1up?q=sylvestris&view=theater;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Silva, R. A. da. (2016). Casearia sylvestris Sw.: Uma planta brasileira de interesse do SUS (Trabalho de conclusão de curso, Fundação Oswaldo Cruz/Farmanguinhos/NGBS/CTM). Fundação Oswaldo Cruz.;https://www.arca.fiocruz.br/handle/icict/18486;.;;;;;;;;;;;;;;
Casearia sylvestris;Casearia sylvestris;Teixeira, N., Melo, J. C. S., Batista, L. F., Paula-Souza, J., Fronza, P., & Brandão, M. G. L. (2019). Edible fruits from Brazilian biodiversity: A review on their sensorial characteristics versus bioactivity as tool to select research. Food research international (Ottawa, Ont.), 119, 325–348. https://doi.org/10.1016/j.foodres.2019.01.058;https://doi.org/10.1016/j.foodres.2019.01.058;.;;;;;;;;;;;;;;
Cedrelinga cateniformis;Cedrelinga cateniformis;Haag, V., Koch, G., Melcher, E., & Welling, J. (2020). Characterization of the wood properties of Cedrelinga cateniformis as substitute for timbers used for window manufacturing and outdoor applications. Maderas. Ciencia y tecnología, 22(1), 23–36. https://doi.org/10.4067/S0718-221X2020005000103;https://doi.org/10.4067/S0718-221X2020005000103;.;;;;;;;;;;;;;;
Cedrelinga cateniformis;Cedrelinga cateniformis;Yanomami, M. I., Yanomami, E., Albert, B., Milliken, W., & Coelho, V. (2015). Hwërɨmamotima thë pë ã oni: Manual dos remédios tradicionais Yanomami. Boa Vista, Roraima, Brasil: Hutukara Associação Yanomami. ISBN: 978-8582260258.;https://acervo.socioambiental.org/index.php/acervo/publicacoes-isa/manual-dos-remedios-tradicionais-yanomami;.;;;;;;;;;;;;;;
Cheiloclinium cognatum;Cheiloclinium cognatum;Costa, E. A., Santos, L. R., Pontes, I. S., Matos, L. G., Silva, G. A., & Lião, L. M.. (2007). Analgesic and anti-inflammatory effects of Cheiloclinium cognatum root barks. Revista Brasileira De Farmacognosia, 17(4), 508–513. https://doi.org/10.1590/S0102-695X2007000400006;https://doi.org/10.1590/S0102-695X2007000400006;.;;;;;;;;;;;;;;
